legacy_commodity_id,duplicate_no,legacy_location_id,legacy_period_id,volume,unit,unit_abbr
15400,1,88077,25901,294720086,"mcf","mcf"
15398,1,88077,25902,34749343,"tons","tons"
15399,1,88077,25902,14355308,"bbl","bbl"
15400,1,88077,25902,287994125,"mcf","mcf"
15398,1,88077,25903,34896430,"tons","tons"
15399,1,88077,25903,15279688,"bbl","bbl"
15400,1,88077,25903,295293290,"mcf","mcf"
15398,1,88077,25904,35837786,"tons","tons"
15399,1,88077,25904,15192001,"bbl","bbl"
15400,1,88077,25904,290601010,"mcf","mcf"
15398,1,88077,25905,30718492,"tons","tons"
15399,1,88077,25905,14089497,"bbl","bbl"
15400,1,88077,25905,264720156,"mcf","mcf"
15398,1,88077,25906,32855558,"tons","tons"
15399,1,88077,25906,16271672,"bbl","bbl"
15400,1,88077,25906,296729919,"mcf","mcf"
15398,1,88077,25907,28846112,"tons","tons"
15399,1,88077,25907,15960759,"bbl","bbl"
15400,1,88077,25907,289633308,"mcf","mcf"
15398,1,88077,25908,27400394,"tons","tons"
15399,1,88077,25908,16166192,"bbl","bbl"
15400,1,88077,25908,294476172,"mcf","mcf"
15398,1,88077,25909,28418282,"tons","tons"
15399,1,88077,25909,15574932,"bbl","bbl"
15400,1,88077,25909,285162767,"mcf","mcf"
15398,1,88077,25910,32434763,"tons","tons"
15399,1,88077,25910,15584074,"bbl","bbl"
15400,1,88077,25910,291451598,"mcf","mcf"
15398,1,88077,25911,35097309,"tons","tons"
15399,1,88077,25911,15573357,"bbl","bbl"
15400,1,88077,25911,291533223,"mcf","mcf"
15398,1,88077,25912,32645633,"tons","tons"
15399,1,88077,25912,14912169,"bbl","bbl"
15400,1,88077,25912,283483879,"mcf","mcf"
15398,1,88077,25913,34933375,"tons","tons"
15399,1,88077,25913,15140775,"bbl","bbl"
15400,1,88077,25913,291575128,"mcf","mcf"
15398,1,88077,25914,31907688,"tons","tons"
15399,1,88077,25914,14852231,"bbl","bbl"
15400,1,88077,25914,283521071,"mcf","mcf"
15398,1,88077,25915,24654378,"tons","tons"
15399,1,88077,25915,14320447,"bbl","bbl"
